"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/31/2020","AQS","560330002","11","3.8","ug/m3 LC","16","Sheridan - Police Sta. SLAM Site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.8151420009432","-106.955933"
"01/04/2020","AQS","560331003","1","2.6","ug/m3 LC","11","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/10/2020","AQS","560331003","1","7.6","ug/m3 LC","32","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/16/2020","AQS","560331003","1","8.8","ug/m3 LC","37","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/22/2020","AQS","560331003","1","2.3","ug/m3 LC","10","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"01/28/2020","AQS","560331003","1","4.1","ug/m3 LC","17","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/03/2020","AQS","560331003","1","1.5","ug/m3 LC","6","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/09/2020","AQS","560331003","1","4.1","ug/m3 LC","17","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/15/2020","AQS","560331003","1","2","ug/m3 LC","8","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/21/2020","AQS","560331003","1","12.6","ug/m3 LC","52","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"02/27/2020","AQS","560331003","1","1.3","ug/m3 LC","5","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/04/2020","AQS","560331003","1","1.3","ug/m3 LC","5","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
"03/10/2020","AQS","560331003","1","2.1","ug/m3 LC","9","Sheridan - Meadowlark SLAM site","1","100.0000","88101","PM2.5 - Local Conditions","43260","Sheridan, WY","56","Wyoming","033","Sheridan","44.7827500009432","-106.96432"
